concessionaria;ano_do_pnv_snv;rodovia;uf;km_m;municipio;tipo_pista;sentido;situacao;data_da_inativacao;latitude;longitude
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;89,770;Guarulhos;Principal;Crescente/Decrescente;Ativo;;-23,496263;-46,560
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;86,170;São Paulo;Principal;Crescente;Ativo;;-23,467151;-46,572
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;87,480;Guarulhos;Principal;Crescente;Ativo;;-23,474466;-46,561
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;83,510;São Paulo;Principal;Decrescente;Ativo;;-23,442919;-46,568
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;82,050;São Paulo;Principal;Decrescente;Ativo;;-23,429777;-46,570
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;80,050;São Paulo;Principal;Crescente;Ativo;;-23,415430;-46,581
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;78,700;São Paulo;Principal;Crescente;Ativo;;-23,405366;-46,580
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;77,930;São Paulo;Principal;Crescente;Ativo;;-23,399210;-46,577
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;76,240;São Paulo;Principal;Crescente;Ativo;;-23,386517;-46,569
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;77,100;São Paulo;Principal;Crescente;Ativo;;-23,393359;-46,572
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;75,800;São Paulo;Principal;Crescente/Decrescente;Ativo;;-23,385621;-46,565
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;75,230;São Paulo;Principal;Crescente/Decrescente;Ativo;;-23,381194;-46,563
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;73,500;São Paulo;Principal;Crescente/Decrescente;Ativo;;-23,371548;-46,556
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;72,290;São Paulo;Principal;Crescente/Decrescente;Ativo;;-23,363297;-46,552
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;71,431;Mairiporã;Principal;Crescente;Ativo;;-23,357013;-46,549
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;940,020;Extrema;Principal;Crescente;Ativo;;-22,822998;-46,307
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;71,430;Mairiporã;Principal;Crescente;Ativo;;-23,357013;-46,549
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;924,065;Camanducaia;Principal;Crescente;Ativo;;-22,772854;-46,191
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;71,429;Mairiporã;Principal;Decrescente;Ativo;;-23,357013;-46,549
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;901,405;Cambuí;Principal;Crescente;Ativo;;-22,632658;-46,079
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;71,115;Mairiporã;Principal;Decrescente;Ativo;;-23,353463;-46,551
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;736,265;Carmo da Cachoeira;Principal;Crescente;Ativo;;-21,549805;-45,243
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;69,720;Mairiporã;Principal;Crescente;Ativo;;-23,350138;-46,560
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;66,720;Mairiporã;Principal;Crescente;Ativo;;-23,332932;-46,577
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;65,950;Mairiporã;Principal;Decrescente;Ativo;;-23,324773;-46,580
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;632,050;Oliveira;Principal;Decrescente;Ativo;;-20,838255;-44,824
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;65,150;Mairiporã;Principal;Crescente;Ativo;;-23,319006;-46,583
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;628,485;Oliveira;Principal;Decrescente;Ativo;;-20,822721;-44,801
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;622,340;Oliveira;Principal;Decrescente;Ativo;;-20,774359;-44,782
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;616,915;Oliveira;Principal;Decrescente;Ativo;;-20,729036;-44,773
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;62,185;Mairiporã;Principal;Decrescente;Ativo;;-23,329546;-46,572
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;61,150;Mairiporã;Principal;Crescente;Ativo;;-23,291848;-46,579
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;59,840;Mairiporã;Principal;Decrescente;Ativo;;-23,288883;-46,588
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;56,125;Mairiporã;Principal;Decrescente;Ativo;;-23,260421;-46,588
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;58,780;Mairiporã;Principal;Decrescente;Ativo;;-23,281335;-46,587
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;44,925;Atibaia;Principal;Crescente/Decrescente;Ativo;;-23,171737;-46,577
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;52,620;Atibaia;Principal;Crescente;Ativo;;-23,234134;-46,602
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;54,385;Mairiporã;Principal;Decrescente;Ativo;;-23,248559;-46,593
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;49,320;Atibaia;Principal;Decrescente;Ativo;;-23,206723;-46,591
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;63,555;Mairiporã;Principal;Decrescente;Ativo;;-23,306781;-46,576
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;41,080;Atibaia;Principal;Crescente;Ativo;;-23,139460;-46,576
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;36,670;Atibaia;Principal;Decrescente;Ativo;;-23,103096;-46,568
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;587,400;Carmópolis de Minas;Principal;Crescente;Ativo;;-20,527806;-44,638
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;35,520;Atibaia;Principal;Crescente;Ativo;;-23,093365;-46,573
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;28,650;Atibaia;Principal;Crescente;Ativo;;-23,037803;-46,556
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;25,950;Atibaia;Principal;Crescente;Ativo;;-23,024129;-46,534
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;583,740;Carmópolis de Minas;Principal;Decrescente;Ativo;;-20,486168;-44,593
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;33,490;Atibaia;Principal;Crescente;Ativo;;-23,076271;-46,567
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;575,265;Itaguara;Principal;Decrescente;Ativo;;-20,449842;-44,568
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;573,150;Itaguara;Principal;Crescente;Ativo;;-20,435005;-44,557
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;31,430;Atibaia;Principal;Crescente;Ativo;;-23,058230;-46,572
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;22,455;Bragança Paulista;Principal;Crescente;Ativo;;-22,998085;-46,518
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;20,420;Bragança Paulista;Principal;Crescente;Ativo;;-22,985714;-46,506
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;15,845;Bragança Paulista;Principal;Decrescente;Ativo;;-22,958046;-46,480
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;521,550;Brumadinho;Principal;Decrescente;Ativo;;-20,122741;-44,300
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;12,640;Bragança Paulista;Principal;Crescente;Ativo;;-22,931664;-46,469
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;9,425;Vargem;Principal;Crescente/Decrescente;Ativo;;-22,920928;-46,440
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;7,700;Vargem;Principal;Decrescente;Ativo;;-22,912089;-46,426
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;519,160;Igarapé;Principal;Decrescente;Ativo;;-20,108860;-44,315
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;517,925;Igarapé;Principal;Crescente;Ativo;;-20,110612;-44,327
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;4,080;Vargem;Principal;Crescente;Ativo;;-22,883815;-46,410
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;6,930;Vargem;Principal;Decrescente;Ativo;;-22,906158;-46,423
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;948,270;Extrema;Principal;Crescente;Ativo;;-22,871279;-46,360
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;946,880;Extrema;Principal;Crescente;Ativo;;-22,865296;-46,347
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;0,800;Vargem;Principal;Crescente/Decrescente;Ativo;;-22,881516;-46,381
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;942,000;Extrema;Principal;Decrescente;Ativo;;-22,835565;-46,320
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;944,870;Extrema;Principal;Crescente;Ativo;;-22,852456;-46,338
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;937,490;Extrema;Principal;Crescente;Ativo;;-22,811767;-46,289
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;935,560;Extrema;Principal;Crescente;Ativo;;-22,804952;-46,274
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;934,845;Extrema;Principal;Decrescente;Ativo;;-22,808650;-46,265
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;929,350;Itapeva;Principal;Crescente;Ativo;;-22,771249;-46,237
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;930,480;Itapeva;Principal;Crescente;Ativo;;-22,780590;-46,240
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;927,620;Itapeva;Principal;Decrescente;Ativo;;-22,766065;-46,222
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;932,490;Extrema;Principal;Crescente;Ativo;;-22,792370;-46,251
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;926,400;Itapeva;Principal;Crescente;Ativo;;-22,768178;-46,211
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;922,105;Camanducaia;Principal;Crescente;Ativo;;-22,765801;-46,177
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;920,910;Camanducaia;Principal;Crescente;Ativo;;-22,760597;-46,168
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;919,470;Camanducaia;Principal;Crescente;Ativo;;-22,756192;-46,156
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;934,680;Extrema;Principal;Crescente;Ativo;;-22,800215;-46,268
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;515,040;Igarapé;Principal;Crescente;Ativo;;-20,090748;-44,314
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;917,070;Camanducaia;Principal;Decrescente;Ativo;;-22,746430;-46,137
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;493,900;Betim;Principal;Crescente;Ativo;;-19,965636;-44,177
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;511,665;Igarapé;Principal;Crescente;Ativo;;-20,065992;-44,296
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;915,150;Camanducaia;Principal;Crescente;Ativo;;-22,729381;-46,135
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;913,245;Camanducaia;Principal;Decrescente;Ativo;;-22,715414;-46,124
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;908,655;Cambuí;Principal;Decrescente;Ativo;;-22,684637;-46,101
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;907,740;Cambuí;Principal;Decrescente;Ativo;;-22,678775;-46,099
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;900,010;Cambuí;Principal;Crescente;Ativo;;-22,621256;-46,074
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;910,740;Camanducaia;Principal;Crescente/Decrescente;Ativo;;-22,697187;-46,114
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;905,885;Cambuí;Principal;Crescente;Ativo;;-22,665984;-46,093
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;903,530;Cambuí;Principal;Crescente;Ativo;;-22,647144;-46,089
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;898,930;Cambuí;Principal;Crescente;Ativo;;-22,614999;-46,067
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;896,440;Cambuí;Principal;Decrescente;Ativo;;-22,594728;-46,056
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;894,040;Cambuí;Principal;Crescente/Decrescente;Ativo;;-22,575696;-46,043
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;892,830;Cambuí;Principal;Crescente;Ativo;;-22,563775;-46,041
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;882,700;Estiva;Principal;Decrescente;Ativo;;-22,481046;-46,011
