concessionaria,ano_do_pnv_snv,rodovia,km_m,sentido,latitude,longitude
ECO101,2020,BR-101/BA,939.494,Crescente,-18.042508,-39.866789
ECO101,2020,BR-101/BA,939.494,Decrescente,-18.042508,-39.866789
ECO101,2020,BR-101/BA,939.514,Crescente,-18.042686,-39.866829
ECO101,2020,BR-101/BA,939.514,Decrescente,-18.042686,-39.866829
ECO101,2020,BR-101/BA,939.534,Crescente,-18.042859,-39.866867
ECO101,2020,BR-101/BA,939.534,Decrescente,-18.042859,-39.866867
ECO101,2020,BR-101/BA,939.554,Crescente,-18.043043,-39.866911
ECO101,2020,BR-101/BA,939.554,Decrescente,-18.043043,-39.866911
ECO101,2020,BR-101/BA,939.574,Crescente,-18.043221,-39.866953
ECO101,2020,BR-101/BA,939.574,Decrescente,-18.043221,-39.866953
ECO101,2020,BR-101/BA,939.594,Crescente,-18.043399,-39.866995
ECO101,2020,BR-101/BA,939.594,Decrescente,-18.043399,-39.866995
ECO101,2020,BR-101/BA,939.614,Crescente,-18.043577,-39.867035
ECO101,2020,BR-101/BA,939.614,Decrescente,-18.043577,-39.867035
ECO101,2020,BR-101/BA,939.634,Crescente,-18.043755,-39.867076
ECO101,2020,BR-101/BA,939.634,Decrescente,-18.043755,-39.867076
ECO101,2020,BR-101/BA,939.654,Crescente,-18.043935,-39.867119
ECO101,2020,BR-101/BA,939.654,Decrescente,-18.043935,-39.867119
ECO101,2020,BR-101/BA,939.674,Crescente,-18.044107,-39.867163
ECO101,2020,BR-101/BA,939.674,Decrescente,-18.044107,-39.867163
ECO101,2020,BR-101/BA,939.694,Crescente,-18.044283,-39.86721
ECO101,2020,BR-101/BA,939.694,Decrescente,-18.044283,-39.86721
ECO101,2020,BR-101/BA,939.714,Crescente,-18.044458,-39.867257
ECO101,2020,BR-101/BA,939.714,Decrescente,-18.044458,-39.867257
ECO101,2020,BR-101/BA,939.734,Crescente,-18.044633,-39.867304
ECO101,2020,BR-101/BA,939.734,Decrescente,-18.044633,-39.867304
ECO101,2020,BR-101/BA,939.754,Crescente,-18.044817,-39.867354
ECO101,2020,BR-101/BA,939.754,Decrescente,-18.044817,-39.867354
ECO101,2020,BR-101/BA,939.774,Crescente,-18.044992,-39.867406
ECO101,2020,BR-101/BA,939.774,Decrescente,-18.044992,-39.867406
ECO101,2020,BR-101/BA,939.794,Crescente,-18.045167,-39.867459
ECO101,2020,BR-101/BA,939.794,Decrescente,-18.045167,-39.867459
ECO101,2020,BR-101/BA,939.814,Crescente,-18.045341,-39.867516
ECO101,2020,BR-101/BA,939.814,Decrescente,-18.045341,-39.867516
ECO101,2020,BR-101/BA,939.834,Crescente,-18.045515,-39.867574
ECO101,2020,BR-101/BA,939.834,Decrescente,-18.045515,-39.867574
ECO101,2020,BR-101/BA,939.854,Crescente,-18.045687,-39.867633
ECO101,2020,BR-101/BA,939.854,Decrescente,-18.045687,-39.867633
ECO101,2020,BR-101/BA,939.874,Crescente,-18.04586,-39.867695
ECO101,2020,BR-101/BA,939.874,Decrescente,-18.04586,-39.867695
ECO101,2020,BR-101/BA,939.894,Crescente,-18.046031,-39.86776
ECO101,2020,BR-101/BA,939.894,Decrescente,-18.046031,-39.86776
ECO101,2020,BR-101/BA,939.914,Crescente,-18.046201,-39.867827
ECO101,2020,BR-101/BA,939.914,Decrescente,-18.046201,-39.867827
ECO101,2020,BR-101/BA,939.934,Crescente,-18.04637,-39.867896
ECO101,2020,BR-101/BA,939.934,Decrescente,-18.04637,-39.867896
ECO101,2020,BR-101/BA,939.954,Crescente,-18.046534,-39.867965
ECO101,2020,BR-101/BA,939.954,Decrescente,-18.046534,-39.867965
ECO101,2020,BR-101/BA,939.974,Crescente,-18.04671,-39.868039
ECO101,2020,BR-101/BA,939.974,Decrescente,-18.04671,-39.868039
ECO101,2020,BR-101/BA,939.994,Crescente,-18.046875,-39.868111
ECO101,2020,BR-101/BA,939.994,Decrescente,-18.046875,-39.868111
ECO101,2020,BR-101/BA,940.014,Crescente,-18.047041,-39.868188
ECO101,2020,BR-101/BA,940.014,Decrescente,-18.047041,-39.868188
ECO101,2020,BR-101/BA,940.034,Crescente,-18.047206,-39.868266
ECO101,2020,BR-101/BA,940.034,Decrescente,-18.047206,-39.868266
