concessionaria,ano_do_pnv_snv,rodovia,sentido,latitude,longitude,km
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.981624,-48.886367,0.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.98179,-48.88623,0.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.98257,-48.88572,0.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.98341,-48.88536,0.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.98428,-48.88514,0.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.98519,-48.88507,0.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.98609,-48.88504,0.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.98699,-48.88492,0.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.9878,-48.8845,0.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.98852,-48.88388,0.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.98923,-48.88326,1.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.99106,-48.88243,1.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.99191,-48.88206,1.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.99265,-48.88152,1.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.99327,-48.88078,1.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.994,-48.88019,1.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.9948,-48.87974,1.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.99564,-48.8794,1.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.99649,-48.87905,1.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.99699,-48.87884,2.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.99867,-48.87809,2.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.99937,-48.87745,2.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-25.99999,-48.87672,2.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.00061,-48.876,2.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.00123,-48.87527,2.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.00185,-48.87455,2.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.00247,-48.87383,2.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.00309,-48.8731,2.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.0037,-48.87236,3.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.00492,-48.87039,3.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.00525,-48.86947,3.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.00553,-48.86851,3.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.00581,-48.86757,3.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.00624,-48.8667,3.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.00688,-48.86601,3.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.00759,-48.86539,3.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.00834,-48.86485,3.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.00916,-48.8644,4.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.0108,-48.86358,4.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.01163,-48.86317,4.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.01245,-48.86277,4.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.01327,-48.86236,4.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.01414,-48.86206,4.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.01503,-48.862,4.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.01594,-48.86208,4.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.01683,-48.86218,4.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.01774,-48.86228,5.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.01963,-48.86228,5.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.02053,-48.86217,5.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.02143,-48.86207,5.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.02234,-48.86196,5.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.02322,-48.86185,5.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.02412,-48.86174,5.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.02502,-48.86164,5.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.02592,-48.86153,5.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.02682,-48.8614,6.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.0287,-48.86113,6.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.0296,-48.86102,6.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.0305,-48.86091,6.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.0314,-48.8608,6.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.0323,-48.8607,6.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.0332,-48.86058,6.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.03411,-48.86048,6.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.035,-48.86037,6.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.0359,-48.86026,7.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.03769,-48.86005,7.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.03859,-48.85994,7.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.03949,-48.85983,7.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.04039,-48.85972,7.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.04129,-48.85966,7.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.04219,-48.85965,7.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.0431,-48.85964,7.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.044,-48.85963,7.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.04509,-48.85963,8.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.04689,-48.85962,8.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.0478,-48.85961,8.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.04871,-48.8596,8.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.0496,-48.8596,8.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05051,-48.8596,8.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05141,-48.85959,8.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05232,-48.85958,8.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05322,-48.85958,8.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05386,-48.85957,9.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05567,-48.85956,9.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05657,-48.85962,9.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05748,-48.85971,9.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05838,-48.8598,9.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05927,-48.85985,9.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.06018,-48.85992,9.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.06107,-48.86,9.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.06198,-48.86008,9.9
