concessionaria;tipo_de_edificacao;ano_do_pnv_snv;rodovia;uf;km_m;municipio;tipo_pista;sentido;situacao;latitude;longitude
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;498,495;Betim;Principal;Crescente/Decrescente;Ativo;-19,994592;-44,208112
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;530,040;Rio Manso;Principal;Crescente;Ativo;-20,161796;-44,348804
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;574,561;Itaguara;Principal;Crescente;Ativo;-20,444279;-44,565246
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;616,967;Oliveira;Principal;Decrescente;Ativo;-20,729401;-44,772554
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;650,184;Santo Antônio do Amparo;Principal;Decrescente;Ativo;-20,955565;-44,913237
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;698,020;Lavras;Principal;Decrescente;Ativo;-21,266335;-45,137419
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;752,000;Três Corações;Principal;Crescente;Ativo;-21,654901;-45,301640
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;804,196;São Gonçalo do Sapucaí;Principal;Crescente/Decrescente;Ativo;-21,962789;-45,627252
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;871,357;Pouso Alegre;Principal;Crescente/Decrescente;Ativo;-22,399635;-45,961312
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;918,713;Camanducaia;Principal;Crescente;Ativo;-22,754381;-46,148678
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;SP;22,343;Bragança Paulista;Principal;Decrescente;Ativo;-22,996035;-46,514333
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;SP;71,861;São Paulo;Principal;Crescente/Decrescente;Ativo;-23,359274;-46,550167
AUTOPISTA FERNÃO DIAS;Posto de Fiscalização da ANTT;2007;BR-381;MG;851,077;Pouso Alegre;Principal;Crescente;Ativo;-22,247165;-45,885402
AUTOPISTA FLUMINENSE;Base operacional;2019;BR-101;RJ;40,560;Campos dos Goytacazes;Principal;Decrescente;Ativo;-21,552853;-41,331178
AUTOPISTA FLUMINENSE;Base operacional;2019;BR-101;RJ;123,000;Campos dos Goytacazes;Principal;Crescente;Ativo;-22,049361;-41,685611
AUTOPISTA FLUMINENSE;Base operacional;2019;BR-101;RJ;162,300;Macaé;Principal;Decrescente;Ativo;-22,304411;-41,884535
AUTOPISTA FLUMINENSE;Posto de Fiscalização da ANTT;2019;BR-101;RJ;192,950;Casimiro de Abreu;Principal;Decrescente;Ativo;-22,476542;-42,088961
AUTOPISTA FLUMINENSE;Base operacional;2019;BR-101;RJ;235,970;Silva Jardim;Principal;Crescente;Ativo;-22,610024;-42,404409
AUTOPISTA FLUMINENSE;Base operacional;2019;BR-101;RJ;283,300;Itaboraí;Principal;Decrescente;Ativo;-22,738898;-42,806988
AUTOPISTA FLUMINENSE;Base operacional;2019;BR-101;RJ;299,570;São Gonçalo;Principal;Crescente;Ativo;-22,774528;-42,944889
AUTOPISTA FLUMINENSE;Base operacional;2019;BR-101;RJ;318,340;São Gonçalo;Principal;Decrescente;Ativo;-22,846887;-43,099038
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;0,000;Garuva;Principal;Crescente/Decrescente;Ativo;-26,262763;-48,850520
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;1,350;Garuva;Principal;Crescente;Ativo;-25,991494;-48,882368
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;46,800;Joinville;Principal;Decrescente;Ativo;-26,365274;-48,858387
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;79,300;Araquari;Principal;Crescente;Ativo;-26,591211;-48,722545
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;129,850;Balneário Camboriú;Principal;Decrescente;Ativo;-26,983308;-48,670968
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;141,000;Balneário Camboriú;Principal;Decrescente;Ativo;-27,047217;-48,598246
AUTOPISTA LITORAL SUL;Posto de Fiscalização da ANTT;2009;BR-101;SC;151,210;Itapema;Principal;Crescente;Ativo;-27,128378;-48,610033
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;157,400;Porto Belo;Principal;Crescente;Ativo;-27,184070;-48,612561
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;192,400;Biguaçu;Marginal;Decrescente;Ativo;-27,487608;-48,649917
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;205,350;São José;Principal;Crescente;Ativo;-27,585865;-48,616681
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;243,050;Palhoça;Principal;Decrescente;Ativo;-27,885331;-48,647046
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-116;PR;90,200;Piraquara;Principal;Crescente;Ativo;-25,492290;-49,113555
