concessionaria;ano_do_pnv_snv;rodovia_uf;tipo_pista;sentido;km_m_inicial;latitude_inicial;longitude_inicial;km_m_final;latitude_final;longitude_final
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Marginal;Decrescente;478,200;-19,961207;-44,037393;478,625;-19,962838;-44,040403
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Marginal;Decrescente;478,626;-19,962838;-44,040403;478,969;-19,964164;-44,043386
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Marginal;Decrescente;478,970;-19,964164;-44,043386;479,265;-19,964414;-44,046291
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Marginal;Decrescente;479,266;-19,964414;-44,046291;479,617;-19,962833;-44,049549
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Marginal;Decrescente;479,618;-19,962833;-44,049549;480,092;-19,960249;-44,053005
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Marginal;Decrescente;480,093;-19,960249;-44,053005;481,406;-19,959208;-44,064545
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Marginal;Decrescente;481,407;-19,959208;-44,064545;483,053;-19,958439;-44,080098
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Marginal;Decrescente;483,054;-19,958439;-44,080098;484,162;-19,959529;-44,089801
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Marginal;Decrescente;484,163;-19,959529;-44,089801;485,080;-19,955797;-44,096875
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Marginal;Decrescente;485,081;-19,955797;-44,096875;485,918;-19,956272;-44,105109
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Marginal;Decrescente;485,919;-19,956272;-44,105109;486,681;-19,955877;-44,112785
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Marginal;Decrescente;486,682;-19,955877;-44,112785;488,190;-19,956720;-44,125987
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;488,191;-19,956720;-44,125987;489,089;-19,955919;-44,134114
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;489,090;-19,955919;-44,134114;489,760;-19,956297;-44,141165
