concessionaria;ano_do_pnv_snv;tipo_de_rodovia;rodovia;uf;km_m_inicial;km_m_final;direcao;sentido
AUTOPISTA FERNÃO DIAS;2007;Federal;BR-381;MG;477,200;478,199;Sul;Crescente
AUTOPISTA FERNÃO DIAS;2007;Federal;BR-381;MG;478,199;477,200;Norte;Decrescente
AUTOPISTA FERNÃO DIAS;2007;Federal;BR-381;MG;478,200;949,900;Sul;Crescente
AUTOPISTA FERNÃO DIAS;2007;Federal;BR-381;MG;949,900;478,200;Norte;Decrescente
AUTOPISTA FERNÃO DIAS;2007;Federal;BR-381;SP;0,000;90,400;Sul;Crescente
AUTOPISTA FERNÃO DIAS;2007;Federal;BR-381;SP;90,400;0,000;Norte;Decrescente
AUTOPISTA FERNÃO DIAS;2007;Outros;Alça 1;SP;68,150;67,500;Norte;Decrescente
AUTOPISTA FERNÃO DIAS;2007;Outros;Contorno;MG;0,000;7,400;Sul;Crescente
AUTOPISTA FERNÃO DIAS;2007;Outros;Contorno;MG;7,400;0,000;Norte;Decrescente
AUTOPISTA FLUMINENSE;2019;Federal;BR-101;RJ;0,000;322,100;Sul;Crescente
AUTOPISTA FLUMINENSE;2019;Federal;BR-101;RJ;322,100;0,000;Norte;Decrescente
AUTOPISTA LITORAL SUL;2009;Federal;BR-101;SC;0,000;244,680;Norte;Decrescente
AUTOPISTA LITORAL SUL;2009;Federal;BR-101;SC;0,000;244,680;Sul;Crescente
AUTOPISTA LITORAL SUL;2009;Federal;BR-116;PR;71,100;115,200;Leste;Decrescente
AUTOPISTA LITORAL SUL;2009;Federal;BR-116;PR;71,100;115,200;Oeste;Crescente
AUTOPISTA LITORAL SUL;2009;Federal;BR-376;PR;614,400;682,123;Norte;Decrescente
AUTOPISTA LITORAL SUL;2009;Federal;BR-376;PR;614,400;682,123;Sul;Crescente
AUTOPISTA PLANALTO SUL;2017;Federal;BR-116;PR;115,000;211,800;Sul;Crescente
AUTOPISTA PLANALTO SUL;2017;Federal;BR-116;PR;211,800;115,000;Norte;Decrescente
AUTOPISTA PLANALTO SUL;2017;Federal;BR-116;SC;0,000;310,240;Sul;Crescente
AUTOPISTA PLANALTO SUL;2017;Federal;BR-116;SC;310,240;0,000;Norte;Decrescente
AUTOPISTA REGIS BITTENCOURT;2017;Federal;BR-116;SP;268,900;569,100;Sul;Crescente
AUTOPISTA REGIS BITTENCOURT;2017;Federal;BR-116;SP;569,100;268,900;Norte;Decrescente
AUTOPISTA REGIS BITTENCOURT;2017;Federal;BR-116;PR;0,000;71,100;Sul;Crescente
AUTOPISTA REGIS BITTENCOURT;2017;Federal;BR-116;PR;71,100;0,000;Norte;Decrescente
AUTOPISTA REGIS BITTENCOURT;2017;Outros;CW-116;PR;0,000;18,500;Sul;Crescente
AUTOPISTA REGIS BITTENCOURT;2017;Outros;CW-116;PR;18,500;0,000;Norte;Decrescente
CONCEBRA;2017;Federal;BR-153;MG;0,000;58,000;Norte;Decrescente
CONCEBRA;2017;Federal;BR-153;MG;0,000;58,000;Sul;Crescente
CONCEBRA;2017;Federal;BR-153;MG;58,001;59,210;Norte;Decrescente
CONCEBRA;2017;Federal;BR-153;MG;58,001;59,210;Sul;Crescente
CONCEBRA;2017;Federal;BR-153;MG;59,211;246,700;Norte;Decrescente
CONCEBRA;2017;Federal;BR-153;MG;59,211;246,700;Sul;Crescente
CONCEBRA;2017;Federal;BR-153;GO;490,000;703,900;Norte;Decrescente
CONCEBRA;2017;Federal;BR-153;GO;490,000;703,900;Sul;Crescente
CONCEBRA;2017;Federal;BR-262;MG;353,000;435,400;Leste;Decrescente
CONCEBRA;2017;Federal;BR-262;MG;353,000;435,400;Oeste;Crescente
CONCEBRA;2017;Federal;BR-262;MG;435,401;446,500;Leste;Decrescente
CONCEBRA;2017;Federal;BR-262;MG;435,401;446,500;Oeste;Crescente
