concessionaria;ano_do_pnv_snv;rodovia;km_m;sentido;latitude;longitude
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;478,230;Crescente;-19,961214;-44,037713
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;478,430;Crescente;-19,962003;-44,039503
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;478,630;Crescente;-19,962798;-44,041219
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;478,830;Crescente;-19,963589;-44,042937
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;479,030;Crescente;-19,964083;-44,044764
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;479,185;Crescente;-19,964127;-44,045100
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;479,520;Crescente;-19,962997;-44,048601
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;479,720;Crescente;-19,961906;-44,050124
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;479,920;Crescente;-19,960796;-44,051632
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;480,075;Crescente;-19,960494;-44,052095
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;480,655;Crescente;-19,957831;-44,056804
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;480,855;Crescente;-19,958061;-44,058692
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;481,055;Crescente;-19,958328;-44,060582
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;481,255;Crescente;-19,958613;-44,062469
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;481,380;Crescente;-19,958692;-44,064345
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;481,535;Crescente;-19,958805;-44,065766
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;481,735;Crescente;-19,958800;-44,067677
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;481,935;Crescente;-19,958789;-44,069589
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;482,135;Crescente;-19,958797;-44,071500
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;482,335;Crescente;-19,958802;-44,073411
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;482,535;Crescente;-19,958462;-44,075280
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;482,720;Crescente;-19,957932;-44,076819
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;485,160;Crescente;-19,955439;-44,097245
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;485,360;Crescente;-19,955574;-44,099150
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;485,480;Crescente;-19,955758;-44,100843
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;485,660;Crescente;-19,955963;-44,102904
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;485,860;Crescente;-19,955962;-44,104809
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;486,060;Crescente;-19,955883;-44,106820
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;486,254;Crescente;-19,955808;-44,108017
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;486,660;Crescente;-19,955415;-44,112565
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;486,860;Crescente;-19,955305;-44,114468
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;487,060;Crescente;-19,955159;-44,116373
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;487,220;Crescente;-19,955366;-44,117686
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;487,327;Crescente;-19,956732;-44,119307
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;487,527;Crescente;-19,957641;-44,120964
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;487,727;Crescente;-19,957321;-44,122801
