concessionaria;ano_do_pnv_snv;rodovia_uf;tipo_pista;sentido;tipo_de_uso_do_solo;km_m_inicial;latitude_inicial;longitude_inicial;km_m_final;latitude_final;longitude_final
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;478,200;-19,961207;-44,037393;517,732;-20,109055;-44,326928
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;517,733;-20,109055;-44,326928;533,000;-20,170812;-44,372938
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;533,001;-20,170812;-44,372938;535,820;-20,193523;-44,383929
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;535,821;-20,193523;-44,383929;539,511;-20,224501;-44,395195
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;539,512;-20,224501;-44,395195;540,674;-20,232625;-44,400888
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;540,675;-20,232625;-44,400888;561,363;-20,374306;-44,472114
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;561,364;-20,374306;-44,472114;565,698;-20,395963;-44,503710
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;565,699;-20,395963;-44,503710;582,185;-20,496572;-44,606632
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;582,186;-20,496572;-44,606632;582,840;-20,501966;-44,608381
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;582,841;-20,501966;-44,608381;586,324;-20,524099;-44,628520
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;586,325;-20,524099;-44,628520;591,000;-20,548555;-44,658937
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;591,001;-20,548555;-44,658937;666,524;-21,052521;-45,009915
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;666,525;-21,052521;-45,009915;668,097;-21,054306;-45,025015
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;668,098;-21,054306;-45,025015;674,659;-21,089623;-45,068861
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;674,660;-21,089623;-45,068861;677,916;-21,109904;-45,092421
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;677,917;-21,109904;-45,092421;722,776;-21,446629;-45,210211
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;722,777;-21,446629;-45,210211;724,306;-21,459332;-45,209463
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;724,307;-21,459332;-45,209463;753,170;-21,663083;-45,308184
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;753,171;-21,663083;-45,308184;755,765;-21,671354;-45,332305
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;755,766;-21,671354;-45,332305;848,796;-22,229312;-45,876059
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;848,797;-22,229312;-45,876059;851,233;-22,248470;-45,886014
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;851,234;-22,248470;-45,886014;866,290;-22,366678;-45,931870
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;866,291;-22,366678;-45,931870;870,838;-22,396051;-45,958798
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;870,839;-22,396051;-45,958798;876,821;-22,439939;-45,985723
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;876,822;-22,439939;-45,985723;877,885;-22,445750;-45,993667
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;877,886;-22,445750;-45,993667;881,000;-22,465991;-46,009360
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;881,001;-22,465991;-46,009360;881,963;-22,474402;-46,010692
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;881,964;-22,474402;-46,010692;895,801;-22,589641;-46,052214
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;895,802;-22,589641;-46,052214;900,358;-22,624142;-46,075495
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;900,359;-22,624142;-46,075495;916,030;-22,737190;-46,135085
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;916,031;-22,737190;-46,135085;920,737;-22,760750;-46,166206
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;920,738;-22,760750;-46,166206;924,035;-22,773219;-46,190877
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;924,036;-22,773219;-46,190877;928,760;-22,770574;-46,231567
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;928,761;-22,770574;-46,231567;930,000;-22,776532;-46,238886
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;930,001;-22,776532;-46,238886;932,168;-22,793337;-46,247404
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;932,169;-22,793337;-46,247404;933,591;-22,799637;-46,257248
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;933,592;-22,799637;-46,257248;936,200;-22,808481;-46,277691
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;936,201;-22,808481;-46,277691;938,412;-22,817213;-46,293635
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;938,413;-22,817213;-46,293635;949,900;-22,879318;-46,372794
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente/Decrescente;Urbano;0,000;-22,879691;-46,373253;12,242;-22,930055;-46,465116
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente/Decrescente;Rural;12,243;-22,930055;-46,465116;20,339;-22,985322;-46,505255
