concessionaria;ano_do_pnv_snv;rodovia;uf;km_m;municipio;tipo_pista;sentido;situacao;data_da_inativacao;latitude;longitude
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;490,073;Betim;Principal;Crescente;Ativo;;-19,956111;-44,143371
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;499,001;Betim;Principal;Decrescente;Ativo;;-19,995340;-44,207970
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;514,000;Igarapé;Principal;Crescente;Ativo;;-20,082881;-44,308635
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;530,490;Itatiaiuçu;Principal;Decrescente;Ativo;;-20,163222;-44,352814
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;915,125;Camanducaia;Principal;Decrescente;Ativo;;-22,728952;-46,134448
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;916,845;Camanducaia;Principal;Crescente;Ativo;;-22,744336;-46,136082
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;44,470;Atibaia;Principal;Crescente;Ativo;;-23,167961;-46,575480
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;58,601;Mairiporã;Principal;Crescente;Ativo;;-23,279875;-46,586465
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;69,050;Mairiporã;Principal;Crescente;Ativo;;-23,346463;-46,565520
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;80,140;São Paulo;Principal;Decrescente;Ativo;;-23,416708;-46,580166
AUTOPISTA FLUMINENSE;2019;BR-101;RJ;3,600;Campos dos Goytacazes;Principal;Crescente;Ativo;;-21,248447;-41,326542
AUTOPISTA FLUMINENSE;2019;BR-101;RJ;75,950;Campos dos Goytacazes;Principal;Crescente;Ativo;;-21,824320;-41,402952
AUTOPISTA FLUMINENSE;2019;BR-101;RJ;140,100;Carapebus;Principal;Decrescente;Ativo;;-22,179681;-41,748956
AUTOPISTA FLUMINENSE;2019;BR-101;RJ;267,100;Rio Bonito;Principal;Decrescente;Ativo;;-22,707847;-42,661670
AUTOPISTA FLUMINENSE;2019;BR-101;RJ;280,900;Itaboraí;Principal;Crescente;Ativo;;-22,737765;-42,785956
AUTOPISTA FLUMINENSE;2019;BR-101;RJ;319,200;São Gonçalo;Principal;Decrescente;Ativo;;-22,854044;-43,101589
AUTOPISTA LITORAL SUL;2009;BR-376;PR;615,500;São José dos Pinhais;Principal;Crescente;Ativo;;-25,576294;-49,179317
AUTOPISTA LITORAL SUL;2009;BR-376;PR;641,000;Tijucas do Sul;Principal;Crescente;Ativo;;-25,796898;-49,130620
AUTOPISTA LITORAL SUL;2009;BR-101;SC;28,400;Joinville;Principal;Decrescente;Ativo;;-26,212230;-48,915810
AUTOPISTA LITORAL SUL;2009;BR-101;SC;106,500;Penha;Principal;Crescente;Ativo;;-26,815310;-48,683370
AUTOPISTA LITORAL SUL;2009;BR-101;SC;144,300;Itapema;Principal;Decrescente;Ativo;;-27,075802;-48,598125
AUTOPISTA LITORAL SUL;2009;BR-101;SC;191,800;Biguaçu;Principal;Crescente;Ativo;;-27,484768;-48,647725
AUTOPISTA LITORAL SUL;2009;BR-101;SC;218,800;Palhoça;Principal;Decrescente;Ativo;;-27,682744;-48,667646
AUTOPISTA LITORAL SUL;2009;BR-101;SC;220,600;Palhoça;Principal;Crescente;Ativo;;-27,697717;-48,661523
AUTOPISTA LITORAL SUL;2009;BR-101;SC;127,000;Itajaí;Principal;Decrescente;Ativo;;-26,967702;-48,683736
AUTOPISTA PLANALTO SUL;2017;BR-116;PR;115,500;Curitiba;Principal;Crescente;Ativo;;-25,546362;-49,303895
AUTOPISTA PLANALTO SUL;2017;BR-116;PR;190,900;Campo do Tenente;Principal;Decrescente;Ativo;;-25,991711;-49,666372
AUTOPISTA PLANALTO SUL;2017;BR-116;SC;7,500;Mafra;Principal;Crescente;Ativo;;-26,154553;-49,834808
AUTOPISTA PLANALTO SUL;2017;BR-116;SC;119,900;Santa Cecília;Principal;Decrescente;Ativo;;-26,826680;-50,373864
AUTOPISTA PLANALTO SUL;2017;BR-116;SC;231,400;Correia Pinto;Principal;Crescente;Ativo;;-27,683131;-50,335228
AUTOPISTA PLANALTO SUL;2017;BR-116;SC;275,200;Capão Alto;Principal;Crescente;Ativo;;-28,003674;-50,538282
AUTOPISTA PLANALTO SUL;2017;BR-116;SC;278,960;Capão Alto;Principal;Decrescente;Ativo;;-28,029928;-50,561629
AUTOPISTA REGIS BITTENCOURT;2017;BR-116;SP;280,500;Embu das Artes;Principal;Decrescente;Ativo;;-23,649618;-46,845036
AUTOPISTA REGIS BITTENCOURT;2017;BR-116;SP;282,700;Embu das Artes;Principal;Crescente;Ativo;;-23,666855;-46,855192
AUTOPISTA REGIS BITTENCOURT;2017;BR-116;SP;324,600;Juquitiba;Principal;Crescente;Ativo;;-23,940611;-47,051780
AUTOPISTA REGIS BITTENCOURT;2017;BR-116;SP;356,000;Miracatu;Principal;Crescente;Ativo;;-24,092281;-47,256220
AUTOPISTA REGIS BITTENCOURT;2017;BR-116;SP;358,800;Miracatu;Principal;Crescente;Ativo;;-24,108277;-47,264285
AUTOPISTA REGIS BITTENCOURT;2017;BR-116;SP;386,700;Miracatu;Principal;Decrescente;Ativo;;-24,264957;-47,386468
AUTOPISTA REGIS BITTENCOURT;2017;BR-116;SP;492,400;Cajati;Principal;Crescente;Ativo;;-24,742709;-48,139070
AUTOPISTA REGIS BITTENCOURT;2017;BR-116;SP;516,000;Cajati;Principal;Decrescente;Ativo;;-24,876079;-48,209425
AUTOPISTA REGIS BITTENCOURT;2017;BR-116;SP;556,000;Barra do Turvo;Principal;Decrescente;Ativo;;-24,983487;-48,504727
AUTOPISTA REGIS BITTENCOURT;2017;BR-116;SP;558,000;Barra do Turvo;Principal;Crescente;Ativo;;-25,000000;-48,508153
AUTOPISTA REGIS BITTENCOURT;2017;BR-116;PR;70,000;Quatro Barras;Principal;Decrescente;Ativo;;-25,337567;-49,036842
CONCEBRA;2017;BR-60;DF;8,000;Brasília;Principal;Crescente;Ativo;;-15,903200;-48,130700
CONCEBRA;2017;BR-60;DF;10,800;Brasília;Principal;Crescente;Ativo;;-15,911100;-48,154700
CONCEBRA;2017;BR-60;GO;27,520;Alexânia;Principal;Crescente;Ativo;;-16,101100;-48,464700
CONCEBRA;2017;BR-60;GO;39,180;Alexânia;Principal;Crescente;Ativo;;-16,113600;-48,558100
CONCEBRA;2017;BR-60;GO;57,350;Abadiânia;Principal;Crescente;Ativo;;-16,189200;-48,681600
