concessionaria;ano_do_pnv_snv;uf;rodovia;tipo_de_pista;sentido;direcao;situacao;data_da_inativacao;km_m_inicio;latitude_inicio;longitude_inicio;km_m_final;latitude_final;longitude_final
AUTOPISTA FLUMINENSE;2019;RJ;BR-101;Principal;Crescente;Sul;Ativo;;0,000;-21,222617;-41,309502;2,140;-21,236872;-41,320867
AUTOPISTA FLUMINENSE;2019;RJ;BR-101;Principal;Crescente;Sul;Ativo;;2,390;-21,238400;-41,322779;2,690;-21,240198;-41,324886
AUTOPISTA FLUMINENSE;2019;RJ;BR-101;Principal;Crescente;Sul;Ativo;;3,160;-21,244189;-41,326372;4,310;-21,254272;-41,325014
AUTOPISTA FLUMINENSE;2019;RJ;BR-101;Principal;Crescente;Sul;Ativo;;4,460;-21,255628;-41,324991;4,940;-21,259590;-41,326216
AUTOPISTA FLUMINENSE;2019;RJ;BR-101;Principal;Crescente;Sul;Ativo;;5,180;-21,261610;-41,326905;5,740;-21,266604;-41,327362
AUTOPISTA FLUMINENSE;2019;RJ;BR-101;Principal;Crescente;Sul;Ativo;;5,980;-21,268737;-41,326916;6,220;-21,270977;-41,326445
AUTOPISTA FLUMINENSE;2019;RJ;BR-101;Principal;Crescente;Sul;Ativo;;6,440;-21,272957;-41,326591;8,890;-21,292058;-41,318670
AUTOPISTA FLUMINENSE;2019;RJ;BR-101;Principal;Crescente;Sul;Ativo;;9,490;-21,297432;-41,318487;13,660;-21,330326;-41,331091
AUTOPISTA FLUMINENSE;2019;RJ;BR-101;Principal;Crescente;Sul;Ativo;;13,780;-21,331329;-41,331534;18,540;-21,371090;-41,339493
AUTOPISTA FLUMINENSE;2019;RJ;BR-101;Principal;Crescente;Sul;Ativo;;18,880;-21,373350;-41,341728;19,420;-21,377101;-41,343269
AUTOPISTA FLUMINENSE;2019;RJ;BR-101;Principal;Crescente;Sul;Ativo;;19,680;-21,379312;-41,342431;25,500;-21,428407;-41,346112
AUTOPISTA FLUMINENSE;2019;RJ;BR-101;Principal;Crescente;Sul;Ativo;;25,820;-21,430578;-41,344064;26,640;-21,437560;-41,343250
AUTOPISTA FLUMINENSE;2019;RJ;BR-101;Principal;Crescente;Sul;Ativo;;26,820;-21,439168;-41,343027;28,840;-21,457047;-41,342732
