concessionaria;ano_do_pnv_snv;rodovia_uf;tipo_pista;sentido;tipo_pavimento;km_m_inicial;latitude_inicial;longitude_inicial;km_m_final;latitude_final;longitude_final
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Pavimento Flexível;477,200;-19,957645;-44,029699;478,199;-19,961207;-44,037393
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Pavimento Flexível;478,200;-19,961207;-44,037393;949,900;-22,879386;-46,372872
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente;Pavimento Flexível;0,000;-22,879691;-46,373253;71,470;-23,355686;-46,548919
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente;Pavimento Rígido;71,471;-23,355686;-46,548919;71,732;-23,357931;-46,549451
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente;Pavimento Flexível;71,733;-23,357931;-46,549451;90,400;-23,499777;-46,559350
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Pavimento Flexível;0,000;-19,959249;-44,153744;7,400;-19,993329;-44,207884
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Pavimento Flexível;477,200;-19,957645;-44,029699;478,199;-19,961207;-44,037393
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Pavimento Flexível;478,200;-19,961207;-44,037393;949,900;-22,879386;-46,372872
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Decrescente;Pavimento Flexível;0,000;-22,879691;-46,373253;71,470;-23,355686;-46,548919
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Decrescente;Pavimento Rígido;71,471;-23,355686;-46,548919;71,732;-23,357931;-46,549451
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Decrescente;Pavimento Flexível;71,733;-23,357931;-46,549451;90,400;-23,499777;-46,559350
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Pavimento Flexível;0,000;-19,959249;-44,153744;7,400;-19,993329;-44,207884
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Pavimento Flexível;0,000;-21,221874;-41,083690;40,475;-21,552567;-41,332044
