concessionaria;ano_do_pnv_snv;rodovia_uf;tipo_pista;sentido;tipo_faixa;km_m_inicial;latitude_inicial;longitude_inicial;km_m_final;latitude_final;longitude_final
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;477,200;-19,957420;-44,029360;495,400;-19,974640;-44,187360
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;495,401;-19,974640;-44,187360;495,999;-19,975210;-44,193560
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;496,000;-19,975210;-44,193560;497,600;-19,984150;-44,202410
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;497,601;-19,984150;-44,202410;513,799;-20,081500;-44,307560
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;513,800;-20,081500;-44,307560;521,100;-20,117540;-44,302870
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;521,101;-20,117540;-44,302870;539,899;-20,227810;-44,396160
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;539,900;-20,227810;-44,396160;545,700;-20,266220;-44,423160
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;545,701;-20,266220;-44,423160;620,701;-20,761010;-44,776830
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;620,700;-20,761010;-44,776830;622,400;-20,774790;-44,781880
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;622,399;-20,774790;-44,781880;809,801;-21,991000;-45,667420
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;809,800;-21,991000;-45,667420;810,900;-21,997170;-45,674380
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;810,901;-21,997170;-45,674380;862,599;-22,336750;-45,923490
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;862,600;-22,336750;-45,923490;866,200;-22,365910;-45,931670
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;866,201;-22,365910;-45,931670;878,699;-22,450400;-45,999590
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;878,700;-22,450400;-45,999590;880,300;-22,460200;-46,010010
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;880,301;-22,460200;-46,010010;905,399;-22,662310;-46,089640
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;905,400;-22,662310;-46,089640;908,800;-22,685180;-46,102040
