concessionaria;ano_do_pnv_snv;rodovia_uf;tipo_pista;sentido;tipo_tracado;km_m_inicial;latitude_inicial;longitude_inicial;km_m_final;latitude_final;longitude_final
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;478,200;-19,961207;-44,037393;478,835;-19,963726;-44,042863
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Curva;478,836;-19,963726;-44,042863;479,074;-19,964217;-44,044628
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;479,075;-19,964217;-44,044628;479,081;-19,964225;-44,044699
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Curva;479,082;-19,964225;-44,044699;479,592;-19,962799;-44,049184
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;479,593;-19,962799;-44,049184;480,042;-19,960771;-44,051934
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;480,115;-19,960379;-44,052486;480,391;-19,958911;-44,054626
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Curva;480,392;-19,958911;-44,054626;480,774;-19,958158;-44,058091
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;480,775;-19,958158;-44,058091;481,271;-19,958886;-44,063317
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Curva;481,272;-19,958886;-44,063317;481,390;-19,958963;-44,064454
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;481,391;-19,958963;-44,064454;482,318;-19,958935;-44,073300
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Curva;482,319;-19,958935;-44,073300;482,557;-19,958539;-44,075529
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;482,558;-19,958539;-44,075529;482,818;-19,957690;-44,077856
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Curva;482,819;-19,957690;-44,077856;483,117;-19,958373;-44,080291
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;483,118;-19,958373;-44,080291;483,198;-19,958924;-44,080809
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Curva;483,199;-19,958924;-44,080809;483,457;-19,959683;-44,083053
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;483,458;-19,959683;-44,083053;483,673;-19,959624;-44,085112
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;483,845;-19,959524;-44,086744;484,151;-19,959265;-44,089637
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Curva;484,152;-19,959265;-44,089637;484,314;-19,958761;-44,091077
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;484,315;-19,958761;-44,091077;484,774;-19,956365;-44,094667
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Curva;484,775;-19,956365;-44,094667;485,163;-19,955607;-44,097866
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;485,164;-19,955607;-44,097866;485,760;-19,956113;-44,103544
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Curva;485,761;-19,956113;-44,103544;485,897;-19,956131;-44,104847
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;485,898;-19,956131;-44,104847;486,444;-19,955783;-44,110532
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;486,549;-19,955712;-44,111526;487,072;-19,955325;-44,116271
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Curva;487,073;-19,955325;-44,116271;487,290;-19,955920;-44,118169
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;487,291;-19,955920;-44,118169;487,455;-19,956968;-44,119288
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Curva;487,456;-19,956968;-44,119288;487,766;-19,957662;-44,121996
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;487,767;-19,957662;-44,121996;488,473;-19,956068;-44,128558
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Curva;488,474;-19,956068;-44,128558;488,845;-19,955904;-44,132085
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;488,846;-19,955904;-44,132085;489,334;-19,956559;-44,136563
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;489,691;-19,956592;-44,139953;490,188;-19,956019;-44,144483
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;490,721;-19,956530;-44,149476;490,790;-19,956746;-44,150105
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Curva;490,791;-19,956746;-44,150105;491,115;-19,958225;-44,152613
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;491,116;-19,958225;-44,152613;491,234;-19,958975;-44,153435
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Curva;491,235;-19,958975;-44,153435;491,497;-19,960158;-44,155583
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;491,498;-19,960158;-44,155583;491,502;-19,960169;-44,155623
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;491,767;-19,960814;-44,158057;492,020;-19,961395;-44,160366
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;492,174;-19,961761;-44,161777;493,874;-19,965883;-44,177246
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Curva;493,875;-19,965883;-44,177246;494,252;-19,967530;-44,179844
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Tangente;494,253;-19,967530;-44,179844;495,127;-19,973830;-44,185060
